ncessch,zip,locale,title1_status,total_n,fr_lnch_n,red_lnch_n,pupil_tch_ratio,ipr_est,st_schid,lea_cwiftest,fr_lnch_prop,red_lnch_prop,enrl_grd,percent_level_4,percent_level_3,percent_level_2,percent_level_1,wealth_prop,mid_prop,pov_prop,bachelors_pct,high_school,no_diploma_pct,high_ed
411158001727,97424,32-Town: Distant,6-Not eligible for either TAS or SWP,204,NA,NA,41.72,215,4555,0.879,NA,NA,5,NA,NA,NA,NA,0.021178027796161483,0.2501654533421575,0.26538716082064856,9.1,32.9,9,6.9
411158001727,97424,32-Town: Distant,6-Not eligible for either TAS or SWP,204,NA,NA,41.72,215,4555,0.879,NA,NA,6,27.3,45.5,27.3,0,0.021178027796161483,0.2501654533421575,0.26538716082064856,9.1,32.9,9,6.9
411158001727,97424,32-Town: Distant,6-Not eligible for either TAS or SWP,204,NA,NA,41.72,215,4555,0.879,NA,NA,7,25,25,33.3,16.7,0.021178027796161483,0.2501654533421575,0.26538716082064856,9.1,32.9,9,6.9
411158001727,97424,32-Town: Distant,6-Not eligible for either TAS or SWP,204,NA,NA,41.72,215,4555,0.879,NA,NA,8,NA,NA,NA,NA,0.021178027796161483,0.2501654533421575,0.26538716082064856,9.1,32.9,9,6.9
411167001641,97477,22-Suburb: Mid-size,6-Not eligible for either TAS or SWP,259,88,11,16.1,184,4440,0.88,0.33976833976833976,0.04247104247104247,NA,NA,NA,NA,NA,0.03011487115802546,0.26886060229742315,0.21608196212356412,12,28.6,10.1,6.2
411353001714,97071,31-Town: Fringe,5-Eligible for Title I SWP provides SWP program,275,194,18,17.19,266,4540,0.914,0.7054545454545454,0.06545454545454546,NA,NA,NA,NA,NA,0.013780918727915195,0.3441696113074205,0.24664310954063604,9,25.4,12.6,4.6
410474000530,97405,12-City: Mid-size,6-Not eligible for either TAS or SWP,460,149,35,19.74,326,503,0.879,0.3239130434782609,0.07608695652173914,3,35.5,35.5,15.8,13.2,0.11479910157224857,0.1761916645869728,0.19665585225854754,29.3,13.1,2.4,27.7
410474000530,97405,12-City: Mid-size,6-Not eligible for either TAS or SWP,460,149,35,19.74,326,503,0.879,0.3239130434782609,0.07608695652173914,4,25.7,28.6,17.1,28.6,0.11479910157224857,0.1761916645869728,0.19665585225854754,29.3,13.1,2.4,27.7
410474000530,97405,12-City: Mid-size,6-Not eligible for either TAS or SWP,460,149,35,19.74,326,503,0.879,0.3239130434782609,0.07608695652173914,5,31.9,36.1,15.3,16.7,0.11479910157224857,0.1761916645869728,0.19665585225854754,29.3,13.1,2.4,27.7
410348000032,97333,13-City: Small,6-Not eligible for either TAS or SWP,441,99,25,21.41,454,27,0.875,0.22448979591836735,0.05668934240362812,3,15.3,34.7,23.6,26.4,0.0900958466453674,0.20319488817891374,0.22555910543130991,31.3,16.5,2.8,22.6
410348000032,97333,13-City: Small,6-Not eligible for either TAS or SWP,441,99,25,21.41,454,27,0.875,0.22448979591836735,0.05668934240362812,4,36.4,22.7,19.7,21.2,0.0900958466453674,0.20319488817891374,0.22555910543130991,31.3,16.5,2.8,22.6
410348000032,97333,13-City: Small,6-Not eligible for either TAS or SWP,441,99,25,21.41,454,27,0.875,0.22448979591836735,0.05668934240362812,5,21.4,44.3,17.1,17.1,0.0900958466453674,0.20319488817891374,0.22555910543130991,31.3,16.5,2.8,22.6
410099000524,97620,43-Rural: Remote,6-Not eligible for either TAS or SWP,8,NA,NA,8,206,498,0.81,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,25.7,7.1,4.3,8.3
410099000524,97620,43-Rural: Remote,6-Not eligible for either TAS or SWP,8,NA,NA,8,206,498,0.81,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,25.7,7.1,4.3,8.3
410099000524,97620,43-Rural: Remote,6-Not eligible for either TAS or SWP,8,NA,NA,8,206,498,0.81,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,25.7,7.1,4.3,8.3
410099000524,97620,43-Rural: Remote,6-Not eligible for either TAS or SWP,8,NA,NA,8,206,498,0.81,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,25.7,7.1,4.3,8.3
410099000524,97620,43-Rural: Remote,6-Not eligible for either TAS or SWP,8,NA,NA,8,206,498,0.81,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,25.7,7.1,4.3,8.3
410102000755,97901,42-Rural: Distant,5-Eligible for Title I SWP provides SWP program,206,93,27,22.25,234,707,0.891,0.45145631067961167,0.13106796116504854,3,10,40,40,10,0,0.34782608695652173,0.2826086956521739,17.8,29.8,7.6,3.1
410102000755,97901,42-Rural: Distant,5-Eligible for Title I SWP provides SWP program,206,93,27,22.25,234,707,0.891,0.45145631067961167,0.13106796116504854,4,5.9,23.5,17.6,52.9,0,0.34782608695652173,0.2826086956521739,17.8,29.8,7.6,3.1
410102000755,97901,42-Rural: Distant,5-Eligible for Title I SWP provides SWP program,206,93,27,22.25,234,707,0.891,0.45145631067961167,0.13106796116504854,5,43.3,33.3,10,13.3,0,0.34782608695652173,0.2826086956521739,17.8,29.8,7.6,3.1
410102000755,97901,42-Rural: Distant,5-Eligible for Title I SWP provides SWP program,206,93,27,22.25,234,707,0.891,0.45145631067961167,0.13106796116504854,6,24.1,55.2,17.2,3.4,0,0.34782608695652173,0.2826086956521739,17.8,29.8,7.6,3.1
410102000755,97901,42-Rural: Distant,5-Eligible for Title I SWP provides SWP program,206,93,27,22.25,234,707,0.891,0.45145631067961167,0.13106796116504854,7,13.8,51.7,17.2,17.2,0,0.34782608695652173,0.2826086956521739,17.8,29.8,7.6,3.1
410102000755,97901,42-Rural: Distant,5-Eligible for Title I SWP provides SWP program,206,93,27,22.25,234,707,0.891,0.45145631067961167,0.13106796116504854,8,29.2,37.5,12.5,20.8,0,0.34782608695652173,0.2826086956521739,17.8,29.8,7.6,3.1
410102000756,97901,42-Rural: Distant,6-Not eligible for either TAS or SWP,89,31,13,12.92,233,708,0.891,0.34831460674157305,0.14606741573033707,NA,NA,NA,NA,NA,0,0.34782608695652173,0.2826086956521739,17.8,29.8,7.6,3.1
411167000977,97478,22-Suburb: Mid-size,6-Not eligible for either TAS or SWP,600,355,64,20.57,252,1353,0.88,0.5916666666666667,0.10666666666666667,6,10,21.2,28.2,40.6,0.014723926380368098,0.26134969325153373,0.3006134969325153,10.1,33.1,7.3,4.4
411167000977,97478,22-Suburb: Mid-size,6-Not eligible for either TAS or SWP,600,355,64,20.57,252,1353,0.88,0.5916666666666667,0.10666666666666667,7,14.9,29.8,28.6,26.8,0.014723926380368098,0.26134969325153373,0.3006134969325153,10.1,33.1,7.3,4.4
411167000977,97478,22-Suburb: Mid-size,6-Not eligible for either TAS or SWP,600,355,64,20.57,252,1353,0.88,0.5916666666666667,0.10666666666666667,8,6.7,30.3,27.5,35.4,0.014723926380368098,0.26134969325153373,0.3006134969325153,10.1,33.1,7.3,4.4
410927000741,97914,32-Town: Distant,5-Eligible for Title I SWP provides SWP program,287,223,9,21.26,237,694,0.891,0.7770034843205574,0.0313588850174216,3,9.3,25.9,31.5,33.3,0.0898295020782085,0.2280091610823649,0.2010348630078887,7.2,30.1,10.7,4.4
410927000741,97914,32-Town: Distant,5-Eligible for Title I SWP provides SWP program,287,223,9,21.26,237,694,0.891,0.7770034843205574,0.0313588850174216,4,10.5,22.8,17.5,49.1,0.0898295020782085,0.2280091610823649,0.2010348630078887,7.2,30.1,10.7,4.4
410927000741,97914,32-Town: Distant,5-Eligible for Title I SWP provides SWP program,287,223,9,21.26,237,694,0.891,0.7770034843205574,0.0313588850174216,5,9.8,36.6,17.1,36.6,0.0898295020782085,0.2280091610823649,0.2010348630078887,7.2,30.1,10.7,4.4
411004000866,97201,11-City: Large,6-Not eligible for either TAS or SWP,625,38,4,21.9,969,823,0.999,0.0608,0.0064,3,54.9,22,15.4,7.7,0.24685816876122083,0.16786355475763015,0.18761220825852784,33.9,7.2,1.9,33.9
411004000866,97201,11-City: Large,6-Not eligible for either TAS or SWP,625,38,4,21.9,969,823,0.999,0.0608,0.0064,4,63.6,19.1,10.9,6.4,0.24685816876122083,0.16786355475763015,0.18761220825852784,33.9,7.2,1.9,33.9
411004000866,97201,11-City: Large,6-Not eligible for either TAS or SWP,625,38,4,21.9,969,823,0.999,0.0608,0.0064,5,52.6,33.7,8.4,5.3,0.24685816876122083,0.16786355475763015,0.18761220825852784,33.9,7.2,1.9,33.9
411158001390,97424,41-Rural: Fringe,6-Not eligible for either TAS or SWP,78,59,5,14.72,220,1791,0.879,0.7564102564102564,0.0641025641025641,NA,NA,NA,NA,NA,0.021178027796161483,0.2501654533421575,0.26538716082064856,9.1,32.9,9,6.9
411004000867,97212,11-City: Large,6-Not eligible for either TAS or SWP,730,36,5,21.6,798,824,0.999,0.049315068493150684,0.00684931506849315,3,56.7,23.3,14.2,5.8,0.29018789144050106,0.13528183716075157,0.1302713987473904,34,8.9,1.9,33.5
411004000867,97212,11-City: Large,6-Not eligible for either TAS or SWP,730,36,5,21.6,798,824,0.999,0.049315068493150684,0.00684931506849315,4,46.2,27.7,16.8,9.2,0.29018789144050106,0.13528183716075157,0.1302713987473904,34,8.9,1.9,33.5
411004000867,97212,11-City: Large,6-Not eligible for either TAS or SWP,730,36,5,21.6,798,824,0.999,0.049315068493150684,0.00684931506849315,5,46.4,36,9.6,8,0.29018789144050106,0.13528183716075157,0.1302713987473904,34,8.9,1.9,33.5
410927000739,97914,32-Town: Distant,5-Eligible for Title I SWP provides SWP program,388,302,31,21.56,207,692,0.891,0.7783505154639175,0.07989690721649484,3,11.5,30.8,21.2,36.5,0.0898295020782085,0.2280091610823649,0.2010348630078887,7.2,30.1,10.7,4.4
410927000739,97914,32-Town: Distant,5-Eligible for Title I SWP provides SWP program,388,302,31,21.56,207,692,0.891,0.7783505154639175,0.07989690721649484,4,15.1,24.5,24.5,35.8,0.0898295020782085,0.2280091610823649,0.2010348630078887,7.2,30.1,10.7,4.4
410927000739,97914,32-Town: Distant,5-Eligible for Title I SWP provides SWP program,388,302,31,21.56,207,692,0.891,0.7783505154639175,0.07989690721649484,5,13.6,33.9,30.5,22,0.0898295020782085,0.2280091610823649,0.2010348630078887,7.2,30.1,10.7,4.4
410927000739,97914,32-Town: Distant,5-Eligible for Title I SWP provides SWP program,388,302,31,21.56,207,692,0.891,0.7783505154639175,0.07989690721649484,6,14.5,40.8,28.9,15.8,0.0898295020782085,0.2280091610823649,0.2010348630078887,7.2,30.1,10.7,4.4
410112001577,97322,13-City: Small,6-Not eligible for either TAS or SWP,151,85,10,18.3,157,3950,0.925,0.5629139072847682,0.06622516556291391,NA,NA,NA,NA,NA,0.014710689767898006,0.2876757110166721,0.2363517489375613,10.6,29.8,8.5,5.8
411224001668,97224,21-Suburb: Large,6-Not eligible for either TAS or SWP,557,88,11,19.59,656,4364,1.049,0.15798922800718132,0.019748653500897665,3,22.3,30.9,29.8,17,0.13473497186852235,0.18152206100088836,0.1471720461948475,29,22.5,3,17.6
411224001668,97224,21-Suburb: Large,6-Not eligible for either TAS or SWP,557,88,11,19.59,656,4364,1.049,0.15798922800718132,0.019748653500897665,4,44.7,24.7,17.6,12.9,0.13473497186852235,0.18152206100088836,0.1471720461948475,29,22.5,3,17.6
411224001668,97224,21-Suburb: Large,6-Not eligible for either TAS or SWP,557,88,11,19.59,656,4364,1.049,0.15798922800718132,0.019748653500897665,5,50,33,8,9,0.13473497186852235,0.18152206100088836,0.1471720461948475,29,22.5,3,17.6
410883004189,97267,21-Suburb: Large,6-Not eligible for either TAS or SWP,958,330,87,19.75,331,3530,0.972,0.3444676409185804,0.09081419624217119,6,15.4,32.7,28.7,23.2,0.04427645788336933,0.21634269258459324,0.17638588912886968,15.7,26.7,6,10.1
410883004189,97267,21-Suburb: Large,6-Not eligible for either TAS or SWP,958,330,87,19.75,331,3530,0.972,0.3444676409185804,0.09081419624217119,7,14,34.6,23.9,27.6,0.04427645788336933,0.21634269258459324,0.17638588912886968,15.7,26.7,6,10.1
410883004189,97267,21-Suburb: Large,6-Not eligible for either TAS or SWP,958,330,87,19.75,331,3530,0.972,0.3444676409185804,0.09081419624217119,8,15.5,31.7,23,29.8,0.04427645788336933,0.21634269258459324,0.17638588912886968,15.7,26.7,6,10.1
411052000997,97233,11-City: Large,5-Eligible for Title I SWP provides SWP program,485,418,19,16.51,210,943,1,0.8618556701030928,0.03917525773195876,3,0,5.9,14.1,80,0.0044589774078478,0.3590963139120095,0.3097502972651605,8.8,30.3,13.2,3
411052000997,97233,11-City: Large,5-Eligible for Title I SWP provides SWP program,485,418,19,16.51,210,943,1,0.8618556701030928,0.03917525773195876,4,4.6,9.2,12.3,73.8,0.0044589774078478,0.3590963139120095,0.3097502972651605,8.8,30.3,13.2,3
